,HARGA,LT,LB,JKT,JKM,GRS,KOTA
0,28000000000,1100,700,5,6,1,Jakarta Selatan
1,19000000000,824,800,4,4,1,Jakarta Selatan
2,4700000000,500,400,4,3,1,Jakarta Selatan
3,4900000000,251,300,5,4,1,Jakarta Selatan
4,28000000000,1340,575,4,5,1,Jakarta Selatan
5,10000000000,460,300,4,4,1,Jakarta Selatan
6,7600000000,278,350,4,4,1,Jakarta Selatan
7,5250000000,511,300,3,2,1,Jakarta Selatan
8,670000000,70,69,3,2,0,Jakarta Selatan
9,480000000,66,42,2,1,0,Jakarta Selatan
10,10700000000,449,500,6,7,1,Jakarta Selatan
11,4200000000,109,188,2,3,1,Jakarta Selatan
12,8500000000,320,250,4,4,1,Jakarta Selatan
13,7000000000,384,400,4,4,1,Jakarta Selatan
14,20000000000,462,645,5,6,1,Jakarta Selatan
15,9500000000,212,300,4,4,1,Jakarta Selatan
16,13400000000,342,450,5,4,1,Jakarta Selatan
17,11000000000,410,700,4,4,1,Jakarta Selatan
18,5800000000,144,285,4,3,1,Jakarta Selatan
19,35000000000,985,400,4,3,1,Jakarta Selatan
20,14000000000,780,500,3,4,1,Jakarta Selatan
21,5000000000,217,450,4,4,1,Jakarta Selatan
22,40000000000,1500,700,4,4,1,Jakarta Selatan
23,7250000000,210,300,4,3,1,Jakarta Selatan
24,5200000000,110,200,3,3,1,Jakarta Selatan
25,25000000000,760,650,4,4,1,Jakarta Selatan
26,5680000000,151,245,3,3,1,Jakarta Selatan
27,10500000000,220,350,4,3,1,Jakarta Selatan
28,7050000000,128,315,3,3,1,Jakarta Selatan
29,9300000000,235,270,3,3,0,Jakarta Selatan
30,6500000000,100,250,4,3,1,Jakarta Selatan
31,68000000000,470,1000,5,5,1,Jakarta Selatan
32,3000000000,75,150,4,2,1,Jakarta Selatan
33,85000000000,770,500,4,4,1,Jakarta Selatan
34,19500000000,610,1000,6,5,1,Jakarta Selatan
35,20900000000,754,500,4,4,1,Jakarta Selatan
36,15500000000,440,350,4,3,1,Jakarta Selatan
37,14000000000,410,800,4,4,1,Jakarta Selatan
38,39000000000,973,1100,4,3,1,Jakarta Selatan
39,8000000000,251,320,4,4,1,Jakarta Selatan
40,20000000000,780,600,4,4,1,Jakarta Selatan
41,17500000000,954,600,4,3,1,Jakarta Selatan
42,34000000000,1186,900,6,5,1,Jakarta Selatan
43,7500000000,186,380,4,4,1,Jakarta Selatan
44,18500000000,358,500,4,5,1,Jakarta Selatan
45,5000000000,217,200,4,3,1,Jakarta Selatan
46,16000000000,535,600,4,4,1,Jakarta Selatan
47,13000000000,330,500,3,3,1,Jakarta Selatan
48,8000000000,250,320,4,3,1,Jakarta Selatan
49,17500000000,477,530,4,4,1,Jakarta Selatan
50,10500000000,282,450,4,4,1,Jakarta Selatan
51,35500000000,1312,850,5,4,1,Jakarta Selatan
52,16000000000,860,500,4,4,1,Jakarta Selatan
53,11700000000,246,347,4,3,1,Jakarta Selatan
54,18500000000,443,450,4,3,1,Jakarta Selatan
55,17500000000,389,400,4,3,1,Jakarta Selatan
56,6500000000,300,450,4,3,1,Jakarta Selatan
57,18500000000,433,600,4,4,1,Jakarta Selatan
58,25000000000,987,400,4,3,1,Jakarta Selatan
59,23000000000,817,500,6,4,1,Jakarta Selatan
60,12990000000,876,428,5,4,1,Jakarta Selatan
61,15000000000,887,300,3,2,1,Jakarta Selatan
62,13000000000,384,425,5,4,1,Jakarta Selatan
63,33000000000,458,400,4,4,1,Jakarta Selatan
64,9500000000,200,235,3,3,1,Jakarta Selatan
65,5750000000,144,285,4,4,1,Jakarta Selatan
66,19000000000,358,600,4,5,0,Jakarta Selatan
67,19000000000,550,480,4,4,1,Jakarta Selatan
68,21500000000,950,300,5,4,1,Jakarta Selatan
69,5200000000,164,140,3,3,1,Jakarta Selatan
70,14000000000,460,400,4,3,1,Jakarta Selatan
71,55000000000,1487,1200,6,4,1,Jakarta Selatan
72,6250000000,158,400,4,2,1,Jakarta Selatan
73,29000000000,1186,800,9,8,1,Jakarta Selatan
74,8000000000,323,317,5,4,1,Jakarta Selatan
75,8500000000,502,250,4,4,1,Jakarta Selatan
76,18000000000,916,147,5,7,1,Jakarta Selatan
77,4500000000,109,188,2,3,1,Jakarta Selatan
78,10000000000,395,450,5,5,1,Jakarta Selatan
79,4250000000,152,275,3,3,1,Jakarta Selatan
80,4500000000,138,250,5,4,0,Jakarta Selatan
81,2800000000,100,150,3,3,0,Jakarta Selatan
82,15000000000,2010,800,4,3,1,Jakarta Selatan
83,7800000000,188,367,3,3,1,Jakarta Selatan
84,21000000000,500,525,4,5,1,Jakarta Selatan
85,38000000000,1229,800,4,4,1,Jakarta Selatan
86,29950000000,1000,600,4,4,1,Jakarta Selatan
87,7500000000,350,350,6,6,0,Jakarta Selatan
88,25000000000,987,400,4,3,0,Jakarta Selatan
89,36000000000,626,500,5,3,1,Jakarta Selatan
90,20000000000,472,650,6,5,0,Jakarta Selatan
91,29000000000,1186,600,8,9,0,Jakarta Selatan
92,5500000000,234,115,2,2,1,Jakarta Selatan
93,16590000000,405,495,4,4,1,Jakarta Selatan
94,33500000000,1000,800,5,6,0,Jakarta Selatan
95,21000000000,802,904,4,3,1,Jakarta Selatan
96,7720000000,125,298,4,4,1,Jakarta Selatan
97,22000000000,1019,650,4,3,1,Jakarta Selatan
98,18500000000,180,600,4,4,1,Jakarta Selatan
99,16500000000,933,600,5,5,1,Jakarta Selatan
100,11980000000,241,572,4,5,1,Jakarta Selatan
101,8500000000,250,250,4,4,1,Jakarta Selatan
102,7700000000,190,350,3,2,1,Jakarta Selatan
103,4200000000,270,300,4,4,1,Jakarta Selatan
104,15700000000,860,325,5,4,1,Jakarta Selatan
105,17000000000,916,147,5,7,1,Jakarta Selatan
106,8000000000,323,317,5,4,1,Jakarta Selatan
107,9550000000,251,288,3,3,1,Jakarta Selatan
108,7600000000,278,350,4,4,1,Jakarta Selatan
109,10200000000,320,360,6,4,1,Jakarta Selatan
110,5900000000,240,350,4,4,1,Jakarta Selatan
111,6000000000,178,309,4,3,1,Jakarta Selatan
112,10800000000,438,540,6,5,1,Jakarta Selatan
113,55000000000,1500,1200,7,6,1,Jakarta Selatan
114,14000000000,714,750,5,3,0,Jakarta Selatan
115,6900000000,358,450,4,3,1,Jakarta Selatan
116,55000000000,1497,1200,5,5,1,Jakarta Selatan
117,17500000000,1056,600,5,5,1,Jakarta Selatan
118,3500000000,100,156,5,4,1,Jakarta Selatan
119,15500000000,340,500,4,4,1,Jakarta Selatan
120,6900000000,188,350,3,3,0,Jakarta Selatan
121,16000000000,407,575,5,4,1,Jakarta Selatan
122,11900000000,241,571,4,5,1,Jakarta Selatan
123,7500000000,188,351,3,3,1,Jakarta Selatan
124,40000000000,1500,700,4,4,1,Jakarta Selatan
125,12500000000,371,300,4,4,0,Jakarta Selatan
126,11000000000,438,540,8,4,0,Jakarta Selatan
127,55000000000,1500,1200,6,6,1,Jakarta Selatan
128,12000000000,512,350,3,4,0,Jakarta Selatan
129,6500000000,230,400,4,4,1,Jakarta Selatan
130,13940000000,539,610,4,4,0,Jakarta Selatan
131,5700000000,168,170,3,3,0,Jakarta Selatan
132,8000000000,350,350,10,5,0,Jakarta Selatan
133,6900000000,128,315,3,3,0,Jakarta Selatan
134,8000000000,190,420,4,4,1,Jakarta Selatan
135,5500000000,107,311,4,3,1,Jakarta Selatan
136,10700000000,400,300,4,3,1,Jakarta Selatan
137,21000000000,1042,552,5,4,1,Jakarta Selatan
138,6500000000,200,300,4,4,1,Jakarta Selatan
139,16000000000,447,500,4,4,1,Jakarta Selatan
140,13500000000,385,525,5,4,1,Jakarta Selatan
141,15750000000,1060,375,3,2,1,Jakarta Selatan
142,23000000000,558,553,8,6,1,Jakarta Selatan
143,21000000000,1042,550,7,6,1,Jakarta Selatan
144,19300000000,1287,700,5,3,1,Jakarta Selatan
145,4300000000,124,187,3,3,1,Jakarta Selatan
146,20000000000,550,650,4,4,1,Jakarta Selatan
147,9550000000,251,288,4,4,0,Jakarta Selatan
148,22000000000,455,570,4,5,1,Jakarta Selatan
149,23000000000,650,600,5,5,1,Jakarta Selatan
150,55000000000,1500,1000,5,6,1,Jakarta Selatan
151,17500000000,430,820,5,6,1,Jakarta Selatan
152,8000000000,299,400,4,4,1,Jakarta Selatan
153,4600000000,109,180,2,3,1,Jakarta Selatan
154,15000000000,714,750,5,5,1,Jakarta Selatan
155,18000000000,600,400,6,6,1,Jakarta Selatan
156,1370000000,425,216,4,4,0,Jakarta Selatan
157,21000000000,1100,700,5,4,0,Jakarta Selatan
158,12000000000,315,609,5,4,1,Jakarta Selatan
159,24300000000,1944,1944,5,4,1,Jakarta Selatan
160,8000000000,380,450,5,5,1,Jakarta Selatan
161,18900000000,470,660,4,4,0,Jakarta Selatan
162,3200000000,78,65,3,2,1,Jakarta Selatan
163,21900000000,377,260,6,5,1,Jakarta Selatan
164,5600000000,269,300,4,4,1,Jakarta Selatan
165,5000000000,176,400,5,2,1,Jakarta Selatan
166,15000000000,714,750,5,5,1,Jakarta Selatan
167,4800000000,276,200,4,3,1,Jakarta Selatan
168,17000000000,663,530,7,8,1,Jakarta Selatan
169,7800000000,250,300,4,4,1,Jakarta Selatan
170,15000000000,755,416,7,6,1,Jakarta Selatan
171,13500000000,384,450,4,4,1,Jakarta Selatan
172,26500000000,1047,500,5,3,1,Jakarta Selatan
173,7500000000,170,300,4,3,1,Jakarta Selatan
174,11900000000,239,568,4,4,1,Jakarta Selatan
175,17500000000,477,520,4,3,1,Jakarta Selatan
176,15500000000,633,530,5,3,1,Jakarta Selatan
177,5500000000,188,314,4,4,1,Jakarta Selatan
178,9900000000,741,411,5,5,1,Jakarta Selatan
179,8650000000,225,518,4,4,1,Jakarta Selatan
180,3650000000,78,185,3,3,1,Jakarta Selatan
181,18500000000,660,600,5,4,1,Jakarta Selatan
182,3600000000,164,150,4,4,1,Jakarta Selatan
183,3400000000,95,156,4,3,1,Jakarta Selatan
184,18000000000,786,1000,6,7,1,Jakarta Selatan
185,17900000000,450,400,4,3,1,Jakarta Selatan
186,4500000000,124,184,3,3,0,Jakarta Selatan
187,4500000000,300,235,4,4,1,Jakarta Selatan
188,18000000000,600,500,6,6,1,Jakarta Selatan
189,15000000000,741,750,5,5,1,Jakarta Selatan
190,8000000000,380,450,5,5,1,Jakarta Selatan
191,18900000000,470,660,4,4,0,Jakarta Selatan
192,21900000000,377,260,6,5,1,Jakarta Selatan
193,5600000000,269,300,4,4,1,Jakarta Selatan
194,4000000000,117,221,4,3,1,Jakarta Selatan
195,20980000000,959,455,6,5,1,Jakarta Selatan
196,3400000000,95,156,4,3,1,Jakarta Selatan
197,25000000000,1100,550,5,4,1,Jakarta Selatan
198,11500000000,400,416,5,3,1,Jakarta Selatan
199,11510000000,233,544,7,7,0,Jakarta Selatan
200,3600000000,78,185,4,4,0,Jakarta Selatan
201,15000000000,250,460,4,4,1,Jakarta Selatan
202,17500000000,518,450,5,7,1,Jakarta Selatan
203,4000000000,117,221,4,3,1,Jakarta Selatan
204,8000000000,350,350,2,1,0,Jakarta Selatan
205,20000000000,550,600,5,5,1,Jakarta Selatan
206,30000000000,555,527,8,6,1,Jakarta Selatan
207,27000000000,670,650,4,4,1,Jakarta Selatan
208,20000000000,1040,600,4,3,1,Jakarta Selatan
209,15750000000,598,243,4,4,1,Jakarta Selatan
210,34500000000,974,800,5,6,1,Jakarta Selatan
211,4300000000,124,184,3,3,1,Jakarta Selatan
212,8500000000,230,310,5,3,0,Jakarta Selatan
213,9500000000,225,400,3,3,1,Jakarta Selatan
214,19000000000,520,500,5,5,1,Jakarta Selatan
215,13000000000,208,458,4,3,1,Jakarta Selatan
216,11900000000,239,568,4,4,1,Jakarta Selatan
217,13000000000,616,600,5,4,1,Jakarta Selatan
218,20000000000,890,600,5,5,1,Jakarta Selatan
219,7500000000,186,380,3,3,1,Jakarta Selatan
220,6150000000,158,400,3,3,1,Jakarta Selatan
221,10500000000,500,700,4,4,1,Jakarta Selatan
222,13500000000,384,450,4,4,1,Jakarta Selatan
223,55000000000,1475,1200,5,6,1,Jakarta Selatan
224,19000000000,358,635,4,5,1,Jakarta Selatan
225,13900000000,450,248,4,4,1,Jakarta Selatan
226,29500000000,923,429,9,5,0,Jakarta Selatan
227,22000000000,455,570,4,5,1,Jakarta Selatan
228,60000000000,1500,1200,6,6,1,Jakarta Selatan
229,13000000000,314,450,4,4,1,Jakarta Selatan
230,16000000000,895,420,5,5,1,Jakarta Selatan
231,18000000000,968,600,4,3,1,Jakarta Selatan
232,30000000000,1000,800,5,6,1,Jakarta Selatan
233,47000000000,1375,1400,5,5,1,Jakarta Selatan
234,6000000000,206,300,4,4,1,Jakarta Selatan
235,9550000000,251,288,4,5,0,Jakarta Selatan
236,32000000000,973,1100,5,5,1,Jakarta Selatan
237,19000000000,435,650,4,4,1,Jakarta Selatan
238,55000000000,1500,1200,6,6,1,Jakarta Selatan
239,17000000000,624,557,6,5,0,Jakarta Selatan
240,19000000000,870,700,6,4,1,Jakarta Selatan
241,14700000000,474,455,4,5,1,Jakarta Selatan
242,13800000000,260,360,6,5,1,Jakarta Selatan
243,15000000000,450,400,4,3,0,Jakarta Selatan
244,10000000000,160,250,3,4,1,Jakarta Selatan
245,6250000000,150,440,3,2,1,Jakarta Selatan
246,7800000000,200,390,4,4,1,Jakarta Selatan
247,6800000000,137,285,4,3,1,Jakarta Selatan
248,15000000000,398,500,5,4,1,Jakarta Selatan
249,19000000000,916,1000,5,7,0,Jakarta Selatan
250,6750000000,217,193,4,4,0,Jakarta Selatan
251,28000000000,330,300,3,3,1,Jakarta Selatan
252,17000000000,921,310,3,3,1,Jakarta Selatan
253,11900000000,260,365,4,4,1,Jakarta Selatan
254,9530000000,150,523,3,3,0,Jakarta Selatan
255,10400000000,282,280,4,3,1,Jakarta Selatan
256,6500000000,138,290,4,3,1,Jakarta Selatan
257,15000000000,658,500,3,3,1,Jakarta Selatan
258,6000000000,200,272,4,4,1,Jakarta Selatan
259,6900000000,137,315,3,2,1,Jakarta Selatan
260,16000000000,521,470,7,6,1,Jakarta Selatan
261,19000000000,400,788,4,3,1,Jakarta Selatan
262,25000000000,865,450,4,4,1,Jakarta Selatan
263,15500000000,1100,600,4,4,1,Jakarta Selatan
264,12600000000,540,800,5,4,0,Jakarta Selatan
265,7900000000,228,465,4,4,1,Jakarta Selatan
266,20000000000,462,645,5,5,1,Jakarta Selatan
267,5000000000,143,200,3,3,1,Jakarta Selatan
268,18000000000,1900,650,6,6,1,Jakarta Selatan
269,1100000000,90,180,3,3,1,Jakarta Selatan
270,6500000000,427,300,4,4,1,Jakarta Selatan
271,17000000000,407,850,6,5,1,Jakarta Selatan
272,6500000000,217,195,4,3,1,Jakarta Selatan
273,8500000000,307,400,4,5,1,Jakarta Selatan
274,13500000000,429,600,5,4,1,Jakarta Selatan
275,850000000,76,60,2,2,0,Jakarta Selatan
276,14000000000,460,500,5,4,1,Jakarta Selatan
277,11200000000,371,250,6,3,1,Jakarta Selatan
278,7700000000,200,373,4,3,1,Jakarta Selatan
279,10000000000,388,343,4,4,1,Jakarta Selatan
280,13500000000,282,380,4,4,1,Jakarta Selatan
281,13000000000,410,800,4,4,0,Jakarta Selatan
282,27000000000,660,800,5,4,1,Jakarta Selatan
283,19000000000,435,650,4,4,1,Jakarta Selatan
284,7000000000,384,400,4,4,1,Jakarta Selatan
285,27500000000,1068,300,5,3,1,Jakarta Selatan
286,17000000000,465,640,3,4,0,Jakarta Selatan
287,10000000000,475,600,5,5,0,Jakarta Selatan
288,6800000000,210,275,3,2,1,Jakarta Selatan
289,21000000000,754,500,4,4,1,Jakarta Selatan
290,25000000000,1340,600,8,5,1,Jakarta Selatan
291,16000000000,521,471,5,5,1,Jakarta Selatan
292,6000000000,329,500,5,3,0,Jakarta Selatan
293,21000000000,1018,600,4,4,0,Jakarta Selatan
294,33000000000,1100,450,4,4,1,Jakarta Selatan
295,2790000000,180,250,3,3,1,Jakarta Selatan
296,8500000000,307,400,7,6,0,Jakarta Selatan
297,1930000000,111,135,3,3,0,Jakarta Selatan
298,14000000000,410,800,4,4,1,Jakarta Selatan
299,12750000000,500,400,4,3,0,Jakarta Selatan
300,5000000000,188,260,4,3,1,Jakarta Selatan
301,25000000000,1040,600,4,3,0,Jakarta Selatan
302,25000000000,1000,600,9,5,1,Jakarta Selatan
303,85500000000,1500,1300,5,5,1,Jakarta Selatan
304,5400000000,165,297,3,3,1,Jakarta Selatan
305,14000000000,380,350,6,4,1,Jakarta Selatan
306,5600000000,151,254,4,3,1,Jakarta Selatan
307,38000000000,1390,750,6,4,0,Jakarta Selatan
308,30000000000,557,400,4,3,0,Jakarta Selatan
309,17500000000,518,450,5,7,1,Jakarta Selatan
310,39500000000,1960,900,5,4,1,Jakarta Selatan
311,15000000000,395,460,4,4,1,Jakarta Selatan
312,13000000000,235,623,5,5,0,Jakarta Selatan
313,8500000000,434,380,5,2,0,Jakarta Selatan
314,45000000000,836,600,4,4,1,Jakarta Selatan
315,10000000000,230,350,3,2,1,Jakarta Selatan
316,20000000000,425,500,5,4,1,Jakarta Selatan
317,5800000000,144,285,4,3,1,Jakarta Selatan
318,20900000000,754,500,4,4,1,Jakarta Selatan
319,24000000000,832,650,4,1,0,Jakarta Selatan
320,23000000000,800,400,4,4,1,Jakarta Selatan
321,9000000000,256,245,4,4,0,Jakarta Selatan
322,1350000000,72,150,3,3,0,Jakarta Selatan
323,23000000000,800,500,5,4,0,Jakarta Selatan
324,14000000000,464,350,4,3,1,Jakarta Selatan
325,15000000000,733,140,2,2,0,Jakarta Selatan
326,6500000000,500,400,17,18,1,Jakarta Selatan
327,6800000000,376,352,5,5,0,Jakarta Selatan
328,10500000000,320,360,6,4,1,Jakarta Selatan
329,20000000000,442,600,3,4,1,Jakarta Selatan
330,16000000000,895,420,5,4,1,Jakarta Selatan
331,15000000000,400,500,4,4,0,Jakarta Selatan
332,9000000000,240,380,3,3,1,Jakarta Selatan
333,33000000000,1750,700,6,6,1,Jakarta Selatan
